SOURCE_ASSET_KEY,TARGET_ASSET_KEY
opensearch/index/index_setup_es_domain_search3_experimental_livestreams_v3,opensearch/index/index_build_es_domain_search3_experimental_livestreams_v3
opensearch/index/index_setup_mktplace_listings_prod_1_baseprime_orders_v1,opensearch/index/dbt_trigger_dbt_custom_indexing_es_orders_v1_spine
opensearch/index/index_setup_mktplace_listings_prod_1_baseprime_orders_v1,opensearch/index/index_build_mktplace_listings_prod_1_baseprime_orders_v1
opensearch/index/index_setup_mktplace_listings_prod_1_baseprime_shipments_v1,opensearch/index/dbt_trigger_dbt_custom_indexing_es_shipments_v1_spine
opensearch/index/index_setup_mktplace_listings_prod_1_baseprime_shipments_v1,opensearch/index/index_build_mktplace_listings_prod_1_baseprime_shipments_v1
opensearch/index/index_setup_mktplace_listings_prod_1_inventory_listings_inventory_listings_v1,opensearch/index/dbt_trigger_dbt_custom_indexing_es_inventory_listings_v1_spine
opensearch/index/index_setup_mktplace_listings_prod_1_inventory_listings_inventory_listings_v1,opensearch/index/index_build_mktplace_listings_prod_1_inventory_listings_inventory_listings_v1
opensearch/index/index_setup_mktplace_listings_prod_1_sold_listings_sold_listings_v1,opensearch/index/dbt_trigger_dbt_custom_indexing_es_sold_listings_v1_spine
opensearch/index/index_setup_mktplace_listings_prod_1_sold_listings_sold_listings_v1,opensearch/index/index_build_mktplace_listings_prod_1_sold_listings_sold_listings_v1
opensearch/index/index_setup_whatnot_os_backend_prod_base_notification_hub_activities_v1,opensearch/index/index_build_whatnot_os_backend_prod_base_notification_hub_activities_v1
opensearch/index/index_setup_wn_search_base_notification_hub_activities_v1_load_index_replica,opensearch/index/index_build_wn_search_base_notification_hub_activities_v1_load_index_replica
opensearch/index/index_setup_wn_search_base_queries_v2_load_index_replica,opensearch/index/index_build_wn_search_base_queries_v2_load_index_replica
opensearch/index/index_setup_wn_search_base_tcg_pokemon_cards_load_index_replica,opensearch/index/index_build_wn_search_base_tcg_pokemon_cards_load_index_replica
opensearch/index/index_setup_wn_search_base_users_v1_load_index_replica,opensearch/index/index_build_wn_search_base_users_v1_load_index_replica
opensearch/index/index_setup_wn_search_baseprime_orders_v1_load_index_replica,opensearch/index/index_build_wn_search_baseprime_orders_v1_load_index_replica
opensearch/index/index_setup_wn_search_baseprime_shipments_v1_load_index_replica,opensearch/index/index_build_wn_search_baseprime_shipments_v1_load_index_replica
opensearch/index/index_setup_wn_search_disco_search_listings_v9_load_index_replica,opensearch/index/index_build_wn_search_disco_search_listings_v9_load_index_replica
opensearch/index/index_setup_wn_search_experimental_livestreams_v3_load_index_replica,opensearch/index/index_build_wn_search_experimental_livestreams_v3_load_index_replica
opensearch/index/index_setup_wn_search_inventory_listings_inventory_listings_v1_load_index_replica,opensearch/index/index_build_wn_search_inventory_listings_inventory_listings_v1_load_index_replica
opensearch/index/index_setup_wn_search_sold_listings_sold_listings_v1_load_index_replica,opensearch/index/index_build_wn_search_sold_listings_sold_listings_v1_load_index_replica
s3/feature_dataset_exports/user_bin_order_chargeback_training_dataset/last_180_days,whatnotml/sagemaker/training/user_bin_order_chargeback_model_load___model_data_from_chalk
s3/feature_dataset_exports/user_bin_order_chargeback_training_dataset/last_180_days,whatnotml/sagemaker/training/user_bin_order_hyperparameter_tuning_load___model_data_from_chalk
s3/feature_dataset_exports/user_livestream_nux_ranking_request_evaluation_feature_dataset/last_1_days,sagemaker/bid_hourly_150/bid_hourly_150_collect_eval_nux_livestream_ts_dataset_uris
s3/feature_dataset_exports/user_livestream_nux_ranking_request_evaluation_feature_dataset/last_1_days,sagemaker/watch_hourly_100/watch_hourly_100_collect_eval_nux_livestream_ts_dataset_uris
s3/feature_dataset_exports/user_livestream_nux_request_recall_evaluation_feature_dataset/last_1_days,sagemaker/bid_hourly_150/bid_hourly_150_collect_eval_nux_livestream_ts_dataset_uris
s3/feature_dataset_exports/user_livestream_nux_request_recall_evaluation_feature_dataset/last_1_days,sagemaker/watch_hourly_100/watch_hourly_100_collect_eval_nux_livestream_ts_dataset_uris
s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset/last_1_days,sagemaker/bid_tax_ag/bid_tax_ag_collect_eval_nux_livestream_ts_dataset_uris
