ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/laser__num_of_successful_livestream_orders,dbt__products__laser_unloads,t1,Growth,snowflake
snowflake/dbt/products/laser__nuxcat,dbt__products__laser_unloads,t3,Growth,snowflake
snowflake/dbt/products/laser__product_total_views,dbt__products__laser_unloads,t1,Marketplace,snowflake
snowflake/dbt/products/laser__push_notification_live_scheduled,dbt__products__laser_unloads,t1,SellerGrowth,snowflake
snowflake/dbt/products/laser__referred_seller_first_month_sales,dbt__products__laser_unloads,t2,Growth,snowflake
snowflake/dbt/products/laser__related_user_group_ids,dbt__products__laser_unloads,t1,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__related_users_query_by_group,dbt__products__laser_unloads,t1,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_per_livestream,dbt__products__laser_unloads,t1,Seller Scaling,snowflake
snowflake/dbt/products/laser__sdb_sales,dbt__products__laser_unloads,t1,Growth,snowflake
snowflake/dbt/products/laser__sdb_streams,dbt__products__laser_unloads,t1,Seller Scaling,snowflake
snowflake/dbt/products/laser__sdb_tas_livestream_issues,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_tas_marketplace_issues_monthly,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_tas_order_issue_metrics_monthly,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_tas_orders,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_tas_overview,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__sdb_users,dbt__products__laser_unloads,t1,Growth,snowflake
snowflake/dbt/products/laser__search_klp_terms,dbt__products__laser_unloads,t1,Growth,snowflake
snowflake/dbt/products/laser__search_query_autocomplete_index_source,dbt__products__laser_unloads,t1,Search,snowflake
snowflake/dbt/products/laser__search_query_quality_scores,dbt__products__laser_unloads,t1,Search,snowflake
snowflake/dbt/products/laser__search_query_to_reformulated_queries,dbt__products__laser_unloads,t1,Search,snowflake
snowflake/dbt/products/laser__search_query_to_sellers,dbt__products__laser_unloads,t1,Search,snowflake
snowflake/dbt/products/laser__search_tokenized_queries_spell_abr,dbt__products__laser_unloads,t1,Search,snowflake
snowflake/dbt/products/laser__seller_average_ship_days,dbt__products__laser,t2,Logistics,snowflake
snowflake/dbt/products/laser__seller_average_ship_days_unload,dbt__products__laser_unloads,t2,Marketplace,snowflake
snowflake/dbt/products/laser__seller_lifetime_gmv,dbt__products__laser,t1,Marketplace,snowflake
snowflake/dbt/products/laser__seller_lifetime_metrics_v3,dbt__products__laser_unloads,t1,DataPlatform,snowflake
snowflake/dbt/products/laser__seller_lifetime_metrics_v4,dbt__products__laser_unloads,t2,Discovery,snowflake
snowflake/dbt/products/laser__seller_lifetime_orders,dbt__products__laser,t2,Marketplace,snowflake
snowflake/dbt/products/laser__seller_metadata,dbt__products__laser,t3,CoreML,snowflake
snowflake/dbt/products/laser__sellers_with_livestreams,dbt__products__laser,t2,Discovery,snowflake
snowflake/dbt/products/laser__stg_tas_order_issues_statused,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__tag_popular,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__ts_early_payout_abuser_flag,dbt__products__laser_unloads,t3,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__ts_early_payout_weekly_cap,dbt__products__laser_unloads,t2,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__ts_refund_abuse_metrics,dbt__products__trust_and_safety,t2,CoreML,snowflake
snowflake/dbt/products/laser__ts_scores,dbt__products__trust_and_safety,t1,CoreML,snowflake
snowflake/dbt/products/laser__ts_scores_v2,dbt__products__trust_and_safety,t3,CoreML,snowflake
snowflake/dbt/products/laser__ts_seller_buyer_relationships,dbt__products__laser_unloads,t2,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__ts_seller_refund_abuse_metrics,dbt__products__trust_and_safety,t2,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__ts_vip_users,dbt__products__laser_unloads,t2,TrustXP,snowflake
snowflake/dbt/products/laser__tsrug2,dbt__products__laser_unloads,t1,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__tsrugi2,dbt__products__laser_unloads,t1,GlobalTrustAndSafety,snowflake
snowflake/dbt/products/laser__txn_fraud_signal,dbt__products__payments,t2,CoreML,snowflake
snowflake/dbt/products/laser__ues,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__user_mystery_orders,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__user_num_of_successful_livestream_orders,dbt__products__laser,t3,Growth,snowflake
snowflake/dbt/products/laser__user_tag_tfidf_v2,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/liquidation__sellers,dbt__products__sales,t3,Analytics,snowflake
snowflake/dbt/products/listing_aggregations__hourly_aggregation_history,dbt__products__listing_aggregations,t2,Discovery,snowflake
snowflake/dbt/products/listings_aggregations__livestreams_by_order_listing_type,dbt__products__listing_aggregations,t2,Discovery,snowflake
snowflake/dbt/products/live_orders_dedupe_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_promotions__ad_load,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__ads_credits,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__base_livestream_engagements_backend,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__base_livestream_engagements_frontend,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__base_livestream_engagements_segment,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__budget_recommendation_facts,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__community_boost_contributions,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__events_aggregations,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__events_aggregations_backend,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__feed_funnel,dbt__products__livestream_promotions,t3,Analytics,snowflake
snowflake/dbt/products/livestream_promotions__impression_user_day,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__ledger_transactions,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__long_term_ads_attribution_base,dbt__products__livestream_promotions,t3,Analytics,snowflake
snowflake/dbt/products/livestream_promotions__promotion_metrics,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__rank_advertiser_by_follow,dbt__products__livestream_promotions,t3,Ads,snowflake
